id_paper,id_publisher
"CAPRINO MP, 2016, COMUNICAR, P39, DOI 10.3916/C49-2016-04",GRUPO COMUNICAR
"GONZALEZ-FERNANDEZ N, 2016, CULT EDUC, V28, P468, DOI 10.1080/11356405.2016.1196898",ROUTLEDGE JOURNALS
"GONZALEZ-FERNANDEZ N, 2016, CULT EDUC, V28, P468, DOI 10.1080/11356405.2016.1196898", TAYLOR & FRANCIS LTD
"ZHANG Z, 2016, TEACH TEACH EDUC, V59, P146, DOI 10.1016/J.TATE.2016.05.017",PERGAMON-ELSEVIER SCIENCE LTD
"BELOVA N, 2016, INT J SCI MATH EDUC, V14, P1233, DOI 10.1007/S10763-015-9650-5",SPRINGER
"FRIESEM E, 2016, J COMMUN INQ, V40, P370, DOI 10.1177/0196859916656837",SAGE PUBLICATIONS INC
"KOC M, 2016, COMPUT HUM BEHAV, V63, P834, DOI 10.1016/J.CHB.2016.06.035",PERGAMON-ELSEVIER SCIENCE LTD
"MUDHAI OF, 2016, J AFR MEDIA STUD, V8, P267, DOI 10.1386/JAMS.8.3.267_1",INTELLECT LTD
"HAYNAL K, 2016, J MASS COMMUN Q, V93, P684, DOI 10.1177/1077699016659075C",SAGE PUBLICATIONS INC
"PARSONS CE, 2016, INT J BILING EDUC BI, V19, P511, DOI 10.1080/13670050.2015.1019412",ROUTLEDGE JOURNALS
"PARSONS CE, 2016, INT J BILING EDUC BI, V19, P511, DOI 10.1080/13670050.2015.1019412", TAYLOR & FRANCIS LTD
"ZHANG H, 2016, ASIA-PAC EDUC RES, V25, P579, DOI 10.1007/S40299-016-0285-2",SPRINGER HEIDELBERG
"MCLEAN SA, 2016, J YOUTH ADOLESCENCE, V45, P1678, DOI 10.1007/S10964-016-0440-3",SPRINGER/PLENUM PUBLISHERS
"GARCIA AR, 2016, AULA ABIERTA, V44, P55, DOI 10.1016/J.AULA.2015.08.002",ELSEVIER SCIENCE BV
"RANIERI M, 2016, EUR EDUC RES J, V15, P462, DOI 10.1177/1474904116629685",SAGE PUBLICATIONS LTD
"HERGUETA-COVACHO E, 2016, REV MEDITERR COMUN, V7, P47, DOI 10.14198/MEDCOM2016.7.2.4",UNIV ALICANTE
"GIL-QUINTANA J, 2016, REV MEDITERR COMUN, V7, P59, DOI 10.1498/MEDCOM2016.7.2.5",UNIV ALICANTE
"APARICI R, 2016, ESPACIOS BLANCO, V26, P35",UNIV NAC CENTRO PROVINCIA BUENOS AIRES
"JIMENEZ VM, 2016, PRISM SOC, P322",FUNDACION IS&D INVESTIGACION SOCIAL AVANZADA
"AARSAND P, 2016, DISCOURSE CONTEXT ME, V12, P20, DOI 10.1016/J.DCM.2016.03.002",ELSEVIER SCI LTD
"GORDON CS, 2016, AUST NZ J PUBL HEAL, V40, P231, DOI 10.1111/1753-6405.12459",WILEY
"SOBRINO MAO, 2016, PRISM SOC, P279",FUNDACION IS&D INVESTIGACION SOCIAL AVANZADA
"GOMEZ PN, 2016, PRISM SOC, P311",FUNDACION IS&D INVESTIGACION SOCIAL AVANZADA
"JENSON J, 2016, ELECTRON J E-LEARN, V14, P111",ACAD CONFERENCES & PUBL INT LTD
"VLIEGHE J, 2016, NEW MEDIA SOC, V18, P800, DOI 10.1177/1461444814547683",SAGE PUBLICATIONS LTD
"NELSON KM, 2016, ARCH SEX BEHAV, V45, P787, DOI 10.1007/S10508-016-0712-8",SPRINGER/PLENUM PUBLISHERS
"RIVERA R, 2016, EVALUATION REV, V40, P142, DOI 10.1177/0193841X16666196",SAGE PUBLICATIONS INC
"AYHAN C, 2016, TURK ONLINE J DES AR, V6, P91, DOI 10.7456/10602100/003",ISTANBUL KULTUR UNIV
"SUPSAKOVA B, 2016, COMMUN TODAY, V7",UNIV SS CYRIL & METHODIUS TRNAVA
"SUPSAKOVA B, 2016, COMMUN TODAY, V7", FAC MASS MEDIA COMMUNICATION
"CHANG FC, 2016, J HEALTH PSYCHOL, V21, P513, DOI 10.1177/1359105314530451",SAGE PUBLICATIONS LTD
