author_full_name,country,university
"OHLER, PETER","TECH UNIV CHEMNITZ, INST GERMANIST MEDIEN TECH & INTERKULTURELLE KOMM, D-09107 CHEMNITZ, GERMANY","TECH UNIV CHEMNITZ, INST GERMANIST MEDIEN TECH & INTERKULTURELLE KOMM, D-09107 CHEMNITZ, GERMANY"
"SCARCELLI, COSIMO MARCO",ITALY,UNIV PADUA
"RIVA, CLAUDIO",ITALY,UNIV PADUA
"KARAA, IBRAHIM E.",TURKEY,CELAL BAYAR UNIV
"KUGU, TAYFUN D.",TURKEY,CELAL BAYAR UNIV
"BICKEL, LAURA",GERMANY,ZBW LEIBNIZ INFORMAT ZENTRUM WIRTSCHAFT
"SCHOLZ, WILLI",GERMANY,ZBW LEIBNIZ INFORMAT ZENTRUM WIRTSCHAFT
"TOCHTERMANN, KLAUS",GERMANY,ZBW LEIBNIZ INFORMAT ZENTRUM WIRTSCHAFT
"BURIANOVA, L'UBICA",SLOVAKIA,UNIV SS CYRIL & METHODIUS
"SORIANO, CHERYLL RUTH R.",PHILIPPINES,DE LA SALLE UNIV
"BUCKINGHAM, DAVID","UNIV LOUGHBOROUGH, LOUGHBOROUGH, LEICS, ENGLAND","UNIV LOUGHBOROUGH, LOUGHBOROUGH LE11 3TU, LEICS, ENGLAND"
"FEDOROV, ALEXANDER","ROSTOV STATE UNIV ECON, ANTON CHEKHOV TAGANROG INST, ROSTOV NA DONU, RUSSIA","ROSTOV STATE ECON UNIV, ANTON CHEKHOV TAGANROG INST, ROSTOV NA DONU, RUSSIA"
"KLINE, KIP",USA,LEWIS UNIV
"BIER, MELINDA C.",UNIV MISSOURI,"UNIV MISSOURI, DIV EDUC PSYCHOL, COLL EDUC, 201 BARNES LIB BLDG,1 UNIV BLVD, ST LOUIS, MO 63121 USA"
"ZWARUN, LARA",USA,UNIV MISSOURI
"SHERBLOM, STEPHEN A.",USA,LINDENWOOD UNIV
"NUPAIROJ, NUDEE",THAILAND,RANGSIT UNIV
"CAPRINO, MONICA PEGURER",BRAZIL,METHODIST UNIV SAO PAULO
"MARTINEZ-CERDA, JUAN-FRANCISCO",OPEN UNIV CATALONIA,"UNIV OBERTA CATALUNYA, MEDIATIC, BARCELONA 08018, SPAIN"
"GONZALEZ-FERNANDEZ, NATALIA",SPAIN,UNIV CANTABRIA
"SALCINES-TALLEDO, IRINA",SPAIN,UNIV CANTABRIA
"ZHANG, ZHENG",CANADA,UNIV WESTERN ONTARIO
"LI, JIA",CANADA,UNIV ONTARIO
"LIU, FEIFEI",CHINA,CHINESE UNIV HONG KONG
"MIAO, ZHUANG",CHINA,CHINESE UNIV HONG KONG
"BELOVA, NADJA",UNIV BREMEN,"UNIV BREMEN, INST SCI EDUC IDN, DEPT BIOL & CHEM, DIDACT CHEM, LEOBENER STR NW2, D-28334 BREMEN, GERMANY"
"EILKS, INGO",UNIV BREMEN,"UNIV BREMEN, INST SCI EDUC IDN, DEPT BIOL & CHEM, DIDACT CHEM, LEOBENER STR NW2, D-28334 BREMEN, GERMANY"
"FRIESEM, ELIZAVETA",USA,TEMPLE UNIV
"KOC, MUSTAFA",TURKEY,SULEYMAN DEMIREL UNIV
"BARUT, ESRA",ANADOLU UNIV,"ANADOLU UNIV, EGITIM FAK, ESKISEHIR, TURKEY"
"MUDHAI, OKOTH FRED",ENGLAND,COVENTRY UNIV
"WRIGHT, BIANCA",ENGLAND,COVENTRY UNIV
"MUSA, ALIYU",ENGLAND,COVENTRY UNIV
"HAYNAL, KAITLYN",USA,UNIV PITTSBURGH
"PARSONS, CHRISTINE E.","NATL UNIV IRELAND, DEPT PSYCHOL, MAYNOOTH, KILDARE, IRELAND","AARHUS UNIV, CTR FUNCTIONALLY INTEGRAT NEUROSCI, AARHUS, DENMARK"
"LYDDY, FIONA",IRELAND,NATL UNIV IRELAND
"ZHANG, HUI",VRIJE UNIV BRUSSEL,"VRIJE UNIV BRUSSEL, FAC PSYCHOL & EDUC SCI, DEPT EDUC SCI, B-1050 BRUSSELS, BELGIUM"
"ZHU, CHANG",VRIJE UNIV BRUSSEL,"VRIJE UNIV BRUSSEL, FAC PSYCHOL & EDUC SCI, DEPT EDUC SCI, B-1050 BRUSSELS, BELGIUM"
"RAMIREZ GARCIA, ANTONIA",SPAIN,FAC CIENCIAS EDUC
"RENES ARELLANO, PAULA",SPAIN,UNIV CANTABRIA
"AGUADED, IGNACIO","UNIV HUELVA, DEPT EDUC, HUELVA, SPAIN","UNIV HUELVA, HUELVA, SPAIN"
"RANIERI, MARIA",ITALY,UNIV FLORENCE
"FABBRO, FRANCESCO",ITALY,UNIV VERONA
"HERGUETA-COVACHO, ELISA","IMC FH KREMS, KREMS, AUSTRIA","UNED, MADRID, SPAIN"
"MARTA-LAZO, CARMEN","UNIV ZARAGOZA, ZARAGOZA, SPAIN","UNIV ZARAGOZA, FAC FILOSOFIA & LETRAS, E-50009 ZARAGOZA, SPAIN"
"GABELAS-BARROSO, JOSE-ANTONIO",SPAIN,UNIV ZARAGOZA
"GIL-QUINTANA, JAVIER",SPAIN,UNED
"APARICI, ROBERTO",SPAIN,UNED
"GARCIA MATILLA, AGUSTIN",UNIV COMPLUTENSE,"UNIV VALLADOLID, FAC CIENCIAS SOCIALES, VALLADOLID, SPAIN"
"MARTIN JIMENEZ, VIRGINIA",SPAIN,UNIV VALLADOLID
"BALLESTEROS HERENCIA, CARLOS",SPAIN,UNIV VALLADOLID
"ETURA HERNANDEZ, DUNIA",SPAIN,UNIV VALLADOLID
"AARSAND, PAL",NORWAY,NORWEGIAN UNIV TECHNOL & SCI
"MELANDER, HELEN",SWEDEN,UPPSALA UNIV
"LEE, JEONG KYU",AUSTRALIA,UNIV WOLLONGONG
"KERVIN, LISA","UNIV WOLLONGONG, WOLLONGONG, NSW, AUSTRALIA","UNIV WOLLONGONG, EARLY START RES INST, WOLLONGONG, NSW 2520, AUSTRALIA"
"ORTIZ SOBRINO, MIGUEL ANGEL",SPAIN,UNIV COMPLUTENSE MADRID
"NUNEZ GOMEZ, PATRICIA",SPAIN,UNIV COMPLUTENSE
"HIGUERA BRUNNER, MARCEL",SPAIN,UNIV COMPLUTENSE
"LAMELAS OCANA, BEATRIZ",SPAIN,UNIV COMPLUTENSE
"JOSE ESTABLES, MARIA",SPAIN,UNIV POMPEU FABRA
"JENSON, JENNIFER",CANADA,YORK UNIV
"DROUMEVA, MILENA",CANADA,SIMON FRASER UNIV
"VLIEGHE, JOACHIM",BELGIUM,UNIV GHENT
"SOETAERT, RONALD",BELGIUM,UNIV GHENT
