author_full_name,country,university
"PAGE, RANDY M.",BRIGHAM YOUNG UNIV,"BRIGHAM YOUNG UNIV, DEPT HLTH SCI, PROVO, UT 84602 USA"
"STRUK, TAMARA",USA,BRIGHAM YOUNG UNIV
"PIKO, BETTINA F.",HUNGARY,UNIV SZEGED
"BALAZS, MATE A.",HUNGARY,UNIV SZEGED
"JURKOWSKI, E. T.",USA,SO ILLINOIS UNIV
"CHANG, CHIUNG-SUI",TAMKANG UNIV,"TAMKANG UNIV, DEPT EDUC TECHNOL, TAIPEI, TAIWAN"
"LIU, ERIC ZHI-FENG",NATL CENT UNIV,"NATL CENT UNIV, GRAD INST LEARNING & INSTRUCT, RES CTR SCI & TECHNOL LEARNING, CHUNGLI, TAIWAN"
"STEWART, BONNIE",CANADA,UNIV PRINCE EDWARD ISL
"DOMINE, VANESSA",MONTCLAIR STATE UNIV,"MONTCLAIR STATE UNIV, COLL EDUC & HUMAN SERV, MONTCLAIR, NJ 07043 USA"
"WINDLE, JOEL",AUSTRALIA,MONASH UNIV
"BURNETT, CATHY",SHEFFIELD HALLAM UNIV,"SHEFFIELD HALLAM UNIV, SHEFFIELD S1 1WB, S YORKSHIRE, ENGLAND"
"TURNER, K. C. NAT",USA,UNIV MASSACHUSETTS
"HALLIWELL, EMMA",ENGLAND,UNIV W ENGLAND
"SALGADO, MARIA VICTORIA",UNIV CALIF SAN FRANCISCO,"UNIV CALIF SAN FRANCISCO, SAN FRANCICO, CA USA"
"PRIMACK, BRIAN",UNIV PITTSBURGH,"UNIV PITTSBURGH, SCH MED, PITTSBURGH, PA USA"
"KAPLAN, CELIA",UNIV CALIF SAN FRANCISCO,"UNIV CALIF SAN FRANCISCO, SAN FRANCISCO, CA 94143 USA"
"GREGORICH, STEVEN",UNIV CALIF SAN FRANCISCO,"UNIV CALIF SAN FRANCISCO, SAN FRANCISCO, CA 94143 USA"
"MEJIA, RAUL",HOSP CLIN BUENOS AIRES,"HOSP CLIN BUENOS AIRES, BUENOS AIRES, DF, ARGENTINA"
"YAMADA-RICE, DYLAN",ENGLAND,UNIV SHEFFIELD
"CHEN, NIAN-SHING",TAIWAN,NATL SUN YAT SEN UNIV
"LEE, CHUN-YI",TAIWAN,CHUNG YUAN CHRISTIAN UNIV
"HU, DA-CHIAN",TAIWAN,TAMKANG UNIV
"LEVIN-ZAMIR, DIANE",CLALIT HLTH SERV,"UNIV HAIFA, SCH PUBL HLTH, IL-31905 HAIFA, ISRAEL"
"LEMISH, DAFNA",USA,SO ILLINOIS UNIV
"GOFIN, ROSA","HADASSAH MED ORG, IL-91120 JERUSALEM, ISRAEL","HEBREW UNIV JERUSALEM, BRAUN SCH PUBL HLTH & COMMUNITY MED, IL-91120 JERUSALEM, ISRAEL"
"RAMIREZ DE LA PISCINA, T.","UNIV BASQUE COUNTRY, DEPT PERIODISMO, FAC CIENCIAS SOCIALES & COMUNICAC, VIZCAYA, SPAIN","UNIV BASQUE COUNTRY, DEPT PERIODISMO, FAC CIENCIAS SOCIALES & COMUNICAC, VIZCAYA, SPAIN"
"BASTERRETXEA, J. I.","UNIV BASQUE COUNTRY, DEPT PERIODISMO, FAC CIENCIAS SOCIALES & COMUNICAC, VIZCAYA, SPAIN","UNIV BASQUE COUNTRY, DEPT PERIODISMO, FAC CIENCIAS SOCIALES & COMUNICAC, VIZCAYA, SPAIN"
"JIMENEZ, E.","UNIV BASQUE COUNTRY, DEPT COMUNICAC AUDIOVISUAL, FAC CIENCIAS SOCIALES & COMUNICAC, VIZCAYA, SPAIN","UNIV BASQUE COUNTRY, DEPT COMUNICAC AUDIOVISUAL, FAC CIENCIAS SOCIALES & COMUNICAC, VIZCAYA, SPAIN"
"KOLTAY, TIBOR",HUNGARY,SZENT ISTVAN UNIV
"COOPER, CAREN B.",USA,CORNELL UNIV
"PAEK, HYE-JIN",MICHIGAN STATE UNIV,"MICHIGAN STATE UNIV, DEPT ADVERTISING PUBL RELAT & RETAILING, E LANSING, MI 48824 USA"
"REBER, BRYAN H.",UNIV GEORGIA,"UNIV GEORGIA, DEPT ADVERTISING & PUBL RELAT, ATHENS, GA 30602 USA"
"LARISCY, RUTHANN W.",UNIV GEORGIA,"UNIV GEORGIA, DEPT ADVERTISING & PUBL RELAT, ATHENS, GA 30602 USA"
"AMORY, ALAN",AFRICA,UNIV JOHANNESBURG
"BOYD, MICHELLE J.",TUFTS UNIV,"TUFTS UNIV, INST APPL RES YOUTH DEV, MEDFORD, MA 02155 USA"
"DOBROW, JULIE",TUFTS UNIV,"TUFTS UNIV, COMMUN & MEDIA STUDIES PROGRAM, MEDFORD, MA 02155 USA"
"CINCOTTA-SEGI, ANGELA",AUSTRALIA,AUSTRALIAN NATL UNIV
"CABERO-ALMENARA, JULIO",UNIV SEVILLE,"UNIV SEVILLE, FAC CIENCIAS EDUC, SEVILLE 41018, SPAIN"
"GUERRA LIANO, SONSOLES",UNIV CANTABRIA,"UNIV CANTABRIA, FAC EDUC, E-39005 SANTANDER, CANTABRIA, SPAIN"
"HUONG, NGUYEN T.",VIETNAM,HANOI SCH PUBL HLTH
"CHI, HOANG K.",VIETNAM,HANOI SCH PUBL HLTH
"TIEN, TRUONG Q.",VIETNAM,HANOI SCH PUBL HLTH
"GUSTAVSON, AMY","E CAROLINA UNIV, JY JOYNER LIB, GREENVILLE, NC USA","E CAROLINA UNIV, JOYNER LIB, GREENVILLE, NC USA"
"WHITEHURST, ANGELA","E CAROLINA UNIV, JY JOYNER LIB, GREENVILLE, NC USA","E CAROLINA UNIV, JOYNER LIB, GREENVILLE, NC USA"
"HISLE, DAVID",CARTERET COMMUNITY COLL LIB,"CARTERET COMMUNITY COLL LIB, MOREHEAD CITY, NC USA"
"NAM, SIHO",USA,UNIV N FLORIDA
"PIKO, B. F.",HUNGARY,UNIV SZEGED
"BALAZS, M. A.",HUNGARY,UNIV SZEGED
"PAGE, R. M.",USA,BRIGHAM YOUNG UNIV
"GUNDERS, JOHN",UNIV QUEENSLAND,"UNIV QUEENSLAND, CTR CRIT & CULTURAL STUDIES, BRISBANE, QLD 4072, AUSTRALIA"
"ZAGALO, NELSON",PORTUGAL,UNIV MINHO
"AKAR-VURAL, RUKEN",ADNAN MENDERES UNIV,"ADNAN MENDERES UNIV, FAC EDUC, DEPT CURRICULUM & INSTRUCT, AYDIN, TURKEY"
"AUSTEN, RALPH A.",USA,UNIV CHICAGO
"MERSKIN, DEBRA",USA,UNIV OREGON
"TSENG, YUEN-HSIEN",NATL TAIWAN NORMAL UNIV,"NATL TAIWAN NORMAL UNIV, INFORMAT TECHNOL CTR, TAIPEI, TAIWAN"
"TEURLINGS, JAN",NETHERLANDS,UNIV AMSTERDAM
"ANDERSON, DANIEL R.",UNIV MASSACHUSETTS,"UNIV MASSACHUSETTS, DEPT PSYCHOL, AMHERST, MA 01003 USA"
"HANSON, KATHERINE G.",UNIV MASSACHUSETTS,"UNIV MASSACHUSETTS, DEPT PSYCHOL, AMHERST, MA 01003 USA"
"VAN DE VORD, REBECCA",USA,WASHINGTON STATE UNIV
"ELMA, CEVAT","ONDOKUZ MAYIS UNIV, TR-55139 KURUPELIT, TURKEY","ONDOKUZ MAYIS UNIV, TR-55139 KURUPELIT, TURKEY"
"UZUN, ELIF MERCAN",TURKEY,ONDOKUZ MAYIS UNIV
"DICLE, ABDULLAH N.","ONDOKUZ MAYIS UNIV, TR-55139 KURUPELIT, TURKEY","ONDOKUZ MAYIS UNIV, TR-55139 KURUPELIT, TURKEY"
"BURN, ANDREW",ENGLAND,UNIV LONDON
"PARTINGTON, ANTHONY","COLERIDGE COMMUNITY COLL, CAMBRIDGE, ENGLAND","PARKSIDE COMMUNITY COLL, CAMBRIDGE, ENGLAND"
"ANDERSEN, NEIL",CANADA,YORK UNIV
"GAINER, JESSE S.","TEXAS STATE UNIV, SAN MARCOS, TX USA","TEXAS STATE UNIV, SAN MARCOS, TX USA"
"POTTER, W. JAMES",USA,UNIV CALIF SANTA BARBARA
"TANRIVERDI, BELGIN",UNIV KOCAELI,"UNIV KOCAELI, FAC EDUC, EDUC SCI DEPT, TR-41380 IZMIT, KOCAELI, TURKEY"
"APAK, OEZLEM",UNIV KOCAELI,"UNIV KOCAELI, FAC EDUC, DEPT PRIMARY SCH EDUC, TR-41380 IZMIT, KOCAELI, TURKEY"
"WALKER, TRENIA L.",USA,TEXAS TECH UNIV
"HARRETT, JACQUELINE",WALES,UNIV GLAMORGAN
"FOGG, VICTORIA",UNIV YORK,"UNIV YORK, YORK YO10 5DD, N YORKSHIRE, ENGLAND"
"BADKE, WILLIAM",CANADA,TRINITY WESTERN UNIV
"YANG, CHRISTOPHER K.",USA,UNIV PITTSBURGH
"WICKETT, DUSTIN",USA,UNIV PITTSBURGH
"FINE, DANIELLE",USA,UNIV COLORADO
"ZICKMUND, SUSAN",USA,VA PITTSBURGH HEALTHCARE SYST
"PLESTER, BEVERLY",ENGLAND,COVENTRY UNIV
"WOOD, CLARE",ENGLAND,COVENTRY UNIV
"KINARD, TIMOTHY",TEXAS STATE UNIV,"TEXAS STATE UNIV, SAN MARCOS, TX USA"
"VALDEZ-GAINER, NANCY",DAWSON ELEMENTARY SCH,"DAWSON ELEMENTARY SCH, AUSTIN, TX USA"
"SKAAR, HAVARD",NORWAY,OSLO UNIV COLL
"SALOMON, EVE","SALOMON WHITTLE LTD, LONDON, ENGLAND","PRESS COMPLAINTS COMMISS, LONDON, ENGLAND"
"DAVID, JANE L.",USA,BAY AREA RES GRP
"CONSIDINE, DAVID",USA,APPALACHIAN STATE UNIV
"MOORMAN, GARY",USA,APPALACHIAN STATE UNIV
"HORTON, JULIE",USA,ARGOSY UNIV
"ROCK, MELANIE",CANADA,UNIV CALGARY
"LAIL, PRABH",CANADA,UNIV CALGARY
"ERJAVEC, KARMEN",FAK DRUZBENE VEDE LJUBLJANI,"FAK DRUZBENE VEDE LJUBLJANI, LJUBLJANA, SLOVENIA"
"SNYDER, ILANA",AUSTRALIA,MONASH UNIV
"MERCAN, ELIF","ONDOKUZ MAYIS UNIV, TR-55139 KURUPELIT, TURKEY","ONDOKUZ MAYIS UNIV, TR-55139 KURUPELIT, TURKEY"
"CINKIR, SAKIR","ONDOKUZ MAYIS UNIV, TR-55139 KURUPELIT, TURKEY","ONDOKUZ MAYIS UNIV, TR-55139 KURUPELIT, TURKEY"
"PALAVAN, OEZCAN","MARMARA UNIV, ISTANBUL, TURKEY","MARMARA UNIV, ISTANBUL, TURKEY"
"SOURBATI, MARIA",ENGLAND,UNIV BRIGHTON
"TYMA, ADAM W.",USA,UNIV NEBRASKA
"CHEN, HSIN-LIANG",USA,UNIV MISSOURI
"WILLIAMS, JAMES PATRICK",USA,CUNY
"SIDANI, JAIME",USA,UNIV PITTSBURGH
"ARCHAKIS, ARGIRIS",GREECE,UNIV PATRAS
"TSAKONA, VILLY",GREECE,UNIV IOANNINA
"CALLISON, COY",USA,TEXAS TECH UNIV
"ZILLMANN, DOLF",USA,UNIV ALABAMA
"GIBSON, RHONDA",USA,UNIV N CAROLINA
"BARONE, DIANE",USA,UNIV NEVADA
"WRIGHT, TODD E.",USA,FERNLEY ELEMENTARY SCH
"JENSEN, AMY PETERSEN",USA,BRIGHAM YOUNG UNIV
"PEREZ TORNERO, JOSE MANUEL",UNIV AUTONOMA BARCELONA,"UAB, GABINETE COMUNICAC & EDUC, BARCELONA, SPAIN"
"CHEN, YI-CHUN YVONNES",USA,VIRGINIA POLYTECH INST & STATE UNIV
"FITZGERALD, ERIN",USA,UNIV TEXAS AUSTIN
"COMER, JONATHAN S.",USA,COLUMBIA UNIV
"FURR, JAMI M.",USA,TEMPLE UNIV
"BEIDAS, RINAD S.",USA,TEMPLE UNIV
"KENDALL, PHILIP C.",USA,TEMPLE UNIV
"WEINER, COURTNEY L.",USA,BOSTON UNIV
"DURBRIDGE, MITCHELL R.",AUSTRALIA,FLINDERS UNIV S AUSTRALIA
"LUMBY, CATHARINE","NATL RUGBY LEAGUE, WELF COMMITTEE, RUGBY, ENGLAND","UNIV SYDNEY, MEDIA & COMMUN DEPT, SYDNEY, NSW 2006, AUSTRALIA"
"PARK, SUN-HEE",KOREA,DAN KOOK UNIV
"BERGSMA, LYNDA J.",USA,UNIV ARIZONA
"CARNEY, MARY E.",USA,NEW MEXICO STATE UNIV
"WAN, GUOFANG",USA,OHIO UNIV
"GUT, DIANNE M.",USA,OHIO UNIV
"ARGYROPOULOS, VASSIHOS S.",UNIV THESSALY,"UNIV THESSALY, DEPT SPECIAL EDUC, VOLOS 38221, GREECE"
"SIDERIDIS, GEORGIOS D.",UNIV CRETE,"UNIV CRETE, DEPT PSYCHOL, RETHIMNON 74100, CRETE, GREECE"
"KATSOULIS, PHILIPPOS",SPECIAL SCH BLIND,"SPECIAL SCH BLIND, ATHENS 17675, GREECE"
"AGUADED GOMEZ, JOSE IGNACIO",SPAIN,UNIV HUELVA
"SANCHEZ CARRERO, JACQUELINE",SPAIN,UNIV SEVILLE
"TIPPETT, CHRISTINE D.",UNIV VICTORIA,"UNIV VICTORIA, VICTORIA, BC V8W 2Y2, CANADA"
"YORE, LARRY D.",UNIV VICTORIA,"UNIV VICTORIA, VICTORIA, BC V8W 2Y2, CANADA"
"GAINES, ELLIOT",USA,WRIGHT STATE UNIV
"ERICKSON, KRIS",CANADA,UNIV GUELPH
"GRIFFIN, MICHAEL","MACALESTER COLL, ST PAUL, MN 55105 USA","UNIV AMSTERDAM, NL-1012 WX AMSTERDAM, NETHERLANDS"
"AHN, SEONGMEE",USA,MICHIGAN STATE UNIV
"COOPERMAN, LARRY",USA,SEMINOLE HIGH SCH
"EAGLE, LYNNE",ENGLAND,UNIV W ENGLAND
"FLEMING, JENNIFER J.","CALIF STATE UNIV LONG BEACH, LONG BEACH, CA 90840 USA","CALIF STATE UNIV LONG BEACH, LONG BEACH, CA 90840 USA"
"CHOMA, BECKY L.",CANADA,BROCK UNIV
"HAYES, MICHAEL",CANADA,SIMON FRASER UNIV
"DAVOU, BETTINA","UNIV ATENAS GRECIA, LAB PSICOL APLICADA & PLANIFICAC, ATHENS, GREECE","UNIV ATENAS GRECIA, LAB PSICOL APLICADA & PLANIFICAC, ATHENS, GREECE"
"NIKA, VASSILIKI","UNIV ATENAS GRECIA, LAB PSICOL APLICADA & PLANIFICAC, ATHENS, GREECE","UNIV ATENAS GRECIA, LAB PSICOL APLICADA & PLANIFICAC, ATHENS, GREECE"
"CHUNG, SHENG KUAN",USA,UNIV HOUSTON
"WINSKEL, HEATHER",AUSTRALIA,UNIV WESTERN SYDNEY
"YUS, FRANCISCO",SPAIN,UNIV ALICANTE
"SELWYN, NEIL",WALES,CARDIFF SCH SOCIAL SCI
"ISLAM, RAMONA L.",USA,FAIRFIELD UNIV
"BROWN, JANE D.",USA,UNIV N CAROLINA
"NEWKIRK, THOMAS",USA,UNIV NEW HAMPSHIRE
"TRIER, JAMES",USA,UNIV N CAROLINA
"BROSSARD, DOMINIQUE",USA,UNIV WISCONSIN
"WILKSCH, SM",AUSTRALIA,FLINDERS UNIV S AUSTRALIA
"BRESCIA, W",USA,UNIV ARKANSAS
"VARGAS, L",USA,UNIV N CAROLINA
"WEASENFORTH, D",USA,COLLIN CTY COMMUNITY COLL
"GRUBA, P",AUSTRALIA,UNIV MELBOURNE
"BRUCE, D",USA,KENT STATE UNIV
"PRIMACK, BA",UNIV PITTSBURGH,"UNIV PITTSBURGH, SCH MED, DEPT PEDIAT, PITTSBURGH, PA 15261 USA.;   UNIV PITTSBURGH, SCH MED, DEPT MED, PITTSBURGH, PA 15261 USA"
"TRIER, J",USA,UNIV N CAROLINA
"AUSTIN, EW",WASHINGTON STATE UNIV,"WASHINGTON STATE UNIV, EDWARD R MURROW SCH COMMUN, PULLMAN, WA 99164 USA.;   UNIV WASHINGTON, COLL EDUC, SEATTLE, WA 98195 USA"
"SEW, JW",SINGAPORE,CHIJ ST THERESAS CONVENT
"ZHANG, LI",USA,MISSISSIPPI STATE UNIV LIB
"EVANS, AE",USA,UNIV S CAROLINA
"LILLIS, T",USA,OPEN UNIV
"BEAN, TW",USA,UNIV NEVADA
"HOBBS, R","BABSON COLL, DEPT HIST & SOC, MEDIA LITERACY PROJECT, WELLESLEY, MA USA","TEMPLE UNIV, PHILADELPHIA, PA 19122 USA"
"VILA, HJ",USA,MIDDLEBURY COLL
"GRAY, J",USA,FORDHAM UNIV
"VILLANI, VS",USA,JOHNS HOPKINS UNIV
"FOSTER, AE",WALES,UNIV WALES
"KEENAN, KL",EGYPT,AMER UNIV CAIRO
"WADSWORTH, LA",CANADA,ST FRANCIS XAVIER UNIV
"WATKINS, J",AUSTRALIA,QUEENSLAND UNIV TECHNOL
"BROZO, WG",USA,GEORGE MASON UNIV
"GALICIAN, ML",ARIZONA STATE UNIV,"ARIZONA STATE UNIV, WALTER CRONKITE SCH JOURNALISM & MASS COMMUN, TEMPE, AZ 85287 USA"
"BERGSMA, LJ",USA,UNIV ARIZONA
"RICH, M",USA,HARVARD UNIV
"GONZALES, R",USA,UNIV CALIF LOS ANGELES
"DENNIS, EE",USA,FORDHAM UNIV
"BERG, LRV",USA,CALIF STATE UNIV SACRAMENTO
"NATHARIUS, D",USA,ARIZONA STATE UNIV
"OLSON, SR",USA,MINNESOTA STATE UNIV
"POTTER, WJ",USA,UNIV CALIF SANTA BARBARA
"THOMAN, E",USA,CTR MEDIA LITERACY
"SCHEIBE, CL",USA,ITHACA COLL
"KUBEY, R",RUTGERS STATE UNIV,"RUTGERS STATE UNIV, CTR MEDIA STUDIES, NEW BRUNSWICK, NJ 08903 USA"
"ALVERMANN, DE",USA,UNIV GEORGIA
"HUNDLEY, HL",USA,CALIF STATE UNIV SAN BERNARDINO
"CHRIST, WG",TRINITY UNIV,"TRINITY UNIV, SAN ANTONIO, TX 78284 USA"
"CONSIDINE, DM",USA,APPALACHIAN STATE UNIV
"MERSKIN, D",USA,UNIV OREGON
"HARRIS, A",ENGLAND,UNIV HUDDERSFIELD
"SWIENCICKI, J",USA,CALIF STATE UNIV LOS ANGELES
"LABERGE, Y",CANADA,INST QUEBECOIS HAUTES ETUDES INT
"MARSH, J",ENGLAND,UNIV SHEFFIELD
"BARON, NS",USA,AMERICAN UNIV
"SILVERSTONE, R",ENGLAND,UNIV LONDON LONDON SCH ECON & POLIT SCI
"BEATY, LM",CUNY,"CUNY, NEW YORK, NY 10021 USA"
"HINDIN, TJ",USA,COLUMBIA UNIV
"FRANCIS, C",AUSTRALIA,UNIV MELBOURNE
"GOODSON, FT",USA,KANSAS STATE UNIV
"HULL, GA",USA,UNIV CALIF BERKELEY
"HESSE, P",USA,WHEELOCK COLL
"HILL, SC",USA,BRIGHAM YOUNG UNIV
"HAGOOD, MC",USA,COLL CHARLESTON
"NIXON, H",AUSTRALIA,UNIV S AUSTRALIA
"PAYNE, JG",USA,EMERSON COLL
"WADE, TD",AUSTRALIA,FLINDERS UNIV S AUSTRALIA
"SCHARRER, E",USA,UNIV MASSACHUSETTS
"LELLIOTT, A",AFRICA,UNIV WITWATERSRAND
"MARTIN, MA",USA,EASTERN KENTUCKY UNIV
"RAMANATHAN, V",USA,UNIV CALIF DAVIS
"VAN HORN, R",USA,UNIV N FLORIDA
"COHEN, HL",USA,UNIV N TEXAS
"BURCH, E",USA,SONOMA STATE UNIV
"ROBINSON, A",USA,PENN STATE UNIV LIB
"EDGERTON, GR",USA,OLD DOMINION UNIV
"ROCKLER, NR",USA,GUSTAVUS ADOLPHUS COLL
